====================Start New Logs==============================
config: GB | instance: gttt-4x4-2-2-skinny-v2  | solver: depqbf | preprocessor: bloqqer | time: 28
config: GB | instance: gttt-4x4-2-2-tippy-v2  | solver: caqe | preprocessor: bloqqer | time: 212
config: GB | instance: gttt-4x4-2-2-tippy-v2  | solver: depqbf | preprocessor: bloqqer | time: 3
config: GB | instance: dots-and-boxes-2x2  | solver: caqe | preprocessor: bloqqer | time: 38
config: GB | instance: dots-and-boxes-2x2  | solver: depqbf | preprocessor: bloqqer | time: 8
config: GB | instance: dots-and-boxes-2x3  | solver: caqe | preprocessor: bloqqer | time: > 1800
config: GB | instance: dots-and-boxes-2x3  | solver: depqbf | preprocessor: bloqqer | time: > 1800
config: GB | instance: connect-3-3player-4x4  | solver: caqe | preprocessor: bloqqer | time: 3
config: GB | instance: connect-3-3player-4x4  | solver: depqbf | preprocessor: bloqqer | time: 2
config: GB | instance: connect-3-3player-5x5  | solver: caqe | preprocessor: bloqqer | time: 462
config: GB | instance: connect-3-3player-5x5  | solver: depqbf | preprocessor: bloqqer | time: 13
config: GB | instance: connect-3-3player-6x6  | solver: caqe | preprocessor: bloqqer | time: > 1800
config: GB | instance: connect-3-3player-6x6  | solver: depqbf | preprocessor: bloqqer | time: 208
config: GB | instance: connect-4-3player-4x4  | solver: caqe | preprocessor: bloqqer | time: 74
config: GB | instance: connect-4-3player-4x4  | solver: depqbf | preprocessor: bloqqer | time: 13
config: GB | instance: connect-4-3player-5x4  | solver: caqe | preprocessor: bloqqer | time: > 1800
config: GB | instance: connect-4-3player-5x4  | solver: depqbf | preprocessor: bloqqer | time: 228
config: GB | instance: connect-4-3player-5x5  | solver: caqe | preprocessor: bloqqer | time: 160
config: GB | instance: connect-4-3player-5x5  | solver: depqbf | preprocessor: bloqqer | time: 18
config: GB | instance: tic-tac-toe-3player-3x3  | solver: caqe | preprocessor: bloqqer | time: 4
config: GB | instance: tic-tac-toe-3player-3x3  | solver: depqbf | preprocessor: bloqqer | time: 1
config: GB | instance: tic-tac-toe-3player-4x4  | solver: caqe | preprocessor: bloqqer | time: > 1800
config: GB | instance: tic-tac-toe-3player-4x4  | solver: depqbf | preprocessor: bloqqer | time: 31
config: NB | instance: break-through-2x5  | solver: caqe | preprocessor: bloqqer | time: 31
config: NB | instance: break-through-2x5  | solver: depqbf | preprocessor: bloqqer | time: 5
config: NB | instance: break-through-3x4  | solver: caqe | preprocessor: bloqqer | time: 20
config: NB | instance: break-through-3x4  | solver: depqbf | preprocessor: bloqqer | time: 8
config: NB | instance: break-through-2x6  | solver: caqe | preprocessor: bloqqer | time: > 1800
config: NB | instance: break-through-2x6  | solver: depqbf | preprocessor: bloqqer | time: 34
config: NB | instance: break-through-4x4  | solver: caqe | preprocessor: bloqqer | time: > 1800
config: NB | instance: break-through-4x4  | solver: depqbf | preprocessor: bloqqer | time: 92
config: NB | instance: connect-3-4x4  | solver: caqe | preprocessor: bloqqer | time: 4
config: NB | instance: connect-3-4x4  | solver: depqbf | preprocessor: bloqqer | time: 3
config: NB | instance: connect-3-5x5  | solver: caqe | preprocessor: bloqqer | time: 149
config: NB | instance: connect-3-5x5  | solver: depqbf | preprocessor: bloqqer | time: 14
config: NB | instance: connect-3-6x6  | solver: caqe | preprocessor: bloqqer | time: > 1800
config: NB | instance: connect-3-6x6  | solver: depqbf | preprocessor: bloqqer | time: 67
config: NB | instance: connect-4-4x4  | solver: caqe | preprocessor: bloqqer | time: 5
config: NB | instance: connect-4-4x4  | solver: depqbf | preprocessor: bloqqer | time: 4
config: NB | instance: connect-4-5x4  | solver: caqe | preprocessor: bloqqer | time: 548
config: NB | instance: connect-4-5x4  | solver: depqbf | preprocessor: bloqqer | time: 73
config: NB | instance: connect-4-5x5  | solver: caqe | preprocessor: bloqqer | time: > 1800
config: NB | instance: connect-4-5x5  | solver: depqbf | preprocessor: bloqqer | time: > 1800
config: NB | instance: gttt-4x4-1-1-elly-v2  | solver: caqe | preprocessor: bloqqer | time: > 1800
config: NB | instance: gttt-4x4-1-1-elly-v2  | solver: depqbf | preprocessor: bloqqer | time: 190
config: NB | instance: gttt-4x4-1-1-knobby-v2  | solver: caqe | preprocessor: bloqqer | time: > 1800
config: NB | instance: gttt-4x4-1-1-knobby-v2  | solver: depqbf | preprocessor: bloqqer | time: 78
config: NB | instance: gttt-4x4-1-1-skinny-v2  | solver: caqe | preprocessor: bloqqer | time: > 1800
config: NB | instance: gttt-4x4-1-1-skinny-v2  | solver: depqbf | preprocessor: bloqqer | time: 72
config: NB | instance: gttt-4x4-1-1-tippy-v2  | solver: caqe | preprocessor: bloqqer | time: 418
config: NB | instance: gttt-4x4-1-1-tippy-v2  | solver: depqbf | preprocessor: bloqqer | time: 33
config: NB | instance: gttt-4x4-1-1-fatty-v2  | solver: caqe | preprocessor: bloqqer | time: 1441
config: NB | instance: gttt-4x4-1-1-fatty-v2  | solver: depqbf | preprocessor: bloqqer | time: 49
config: NB | instance: gttt-4x4-2-2-elly-v2  | solver: caqe | preprocessor: bloqqer | time: 111
config: NB | instance: gttt-4x4-2-2-elly-v2  | solver: depqbf | preprocessor: bloqqer | time: 14
config: NB | instance: gttt-4x4-2-2-knobby-v2  | solver: caqe | preprocessor: bloqqer | time: 203
config: NB | instance: gttt-4x4-2-2-knobby-v2  | solver: depqbf | preprocessor: bloqqer | time: 8
